model,scenario,component_type,layer,head,component,contribution
base,CC_continue,head,0,0,L0H0,0.6640625
base,CC_continue,head,0,1,L0H1,0.6640625
base,CC_continue,head,0,2,L0H2,0.6640625
base,CC_continue,head,0,3,L0H3,0.6640625
base,CC_continue,head,0,4,L0H4,0.6640625
base,CC_continue,head,0,5,L0H5,0.6640625
base,CC_continue,head,0,6,L0H6,0.6640625
base,CC_continue,head,0,7,L0H7,0.6640625
base,CC_continue,head,1,0,L1H0,1.203125
base,CC_continue,head,1,1,L1H1,1.203125
base,CC_continue,head,1,2,L1H2,1.203125
base,CC_continue,head,1,3,L1H3,1.203125
base,CC_continue,head,1,4,L1H4,1.203125
base,CC_continue,head,1,5,L1H5,1.203125
base,CC_continue,head,1,6,L1H6,1.203125
base,CC_continue,head,1,7,L1H7,1.203125
base,CC_continue,head,2,0,L2H0,0.06982421875
base,CC_continue,head,2,1,L2H1,0.06982421875
base,CC_continue,head,2,2,L2H2,0.06982421875
base,CC_continue,head,2,3,L2H3,0.06982421875
base,CC_continue,head,2,4,L2H4,0.06982421875
base,CC_continue,head,2,5,L2H5,0.06982421875
base,CC_continue,head,2,6,L2H6,0.06982421875
base,CC_continue,head,2,7,L2H7,0.06982421875
base,CC_continue,head,3,0,L3H0,0.53125
base,CC_continue,head,3,1,L3H1,0.53125
base,CC_continue,head,3,2,L3H2,0.53125
base,CC_continue,head,3,3,L3H3,0.53125
base,CC_continue,head,3,4,L3H4,0.53125
base,CC_continue,head,3,5,L3H5,0.53125
base,CC_continue,head,3,6,L3H6,0.53125
base,CC_continue,head,3,7,L3H7,0.53125
base,CC_continue,head,4,0,L4H0,-0.65625
base,CC_continue,head,4,1,L4H1,-0.65625
base,CC_continue,head,4,2,L4H2,-0.65625
base,CC_continue,head,4,3,L4H3,-0.65625
base,CC_continue,head,4,4,L4H4,-0.65625
base,CC_continue,head,4,5,L4H5,-0.65625
base,CC_continue,head,4,6,L4H6,-0.65625
base,CC_continue,head,4,7,L4H7,-0.65625
base,CC_continue,head,5,0,L5H0,0.21875
base,CC_continue,head,5,1,L5H1,0.21875
base,CC_continue,head,5,2,L5H2,0.21875
base,CC_continue,head,5,3,L5H3,0.21875
base,CC_continue,head,5,4,L5H4,0.21875
base,CC_continue,head,5,5,L5H5,0.21875
base,CC_continue,head,5,6,L5H6,0.21875
base,CC_continue,head,5,7,L5H7,0.21875
base,CC_continue,head,6,0,L6H0,0.37890625
base,CC_continue,head,6,1,L6H1,0.37890625
base,CC_continue,head,6,2,L6H2,0.37890625
base,CC_continue,head,6,3,L6H3,0.37890625
base,CC_continue,head,6,4,L6H4,0.37890625
base,CC_continue,head,6,5,L6H5,0.37890625
base,CC_continue,head,6,6,L6H6,0.37890625
base,CC_continue,head,6,7,L6H7,0.37890625
base,CC_continue,head,7,0,L7H0,0.78515625
base,CC_continue,head,7,1,L7H1,0.78515625
base,CC_continue,head,7,2,L7H2,0.78515625
base,CC_continue,head,7,3,L7H3,0.78515625
base,CC_continue,head,7,4,L7H4,0.78515625
base,CC_continue,head,7,5,L7H5,0.78515625
base,CC_continue,head,7,6,L7H6,0.78515625
base,CC_continue,head,7,7,L7H7,0.78515625
base,CC_continue,head,8,0,L8H0,0.119140625
base,CC_continue,head,8,1,L8H1,0.119140625
base,CC_continue,head,8,2,L8H2,0.119140625
base,CC_continue,head,8,3,L8H3,0.119140625
base,CC_continue,head,8,4,L8H4,0.119140625
base,CC_continue,head,8,5,L8H5,0.119140625
base,CC_continue,head,8,6,L8H6,0.119140625
base,CC_continue,head,8,7,L8H7,0.119140625
base,CC_continue,head,9,0,L9H0,0.384765625
base,CC_continue,head,9,1,L9H1,0.384765625
base,CC_continue,head,9,2,L9H2,0.384765625
base,CC_continue,head,9,3,L9H3,0.384765625
base,CC_continue,head,9,4,L9H4,0.384765625
base,CC_continue,head,9,5,L9H5,0.384765625
base,CC_continue,head,9,6,L9H6,0.384765625
base,CC_continue,head,9,7,L9H7,0.384765625
base,CC_continue,head,10,0,L10H0,-1.359375
base,CC_continue,head,10,1,L10H1,-1.359375
base,CC_continue,head,10,2,L10H2,-1.359375
base,CC_continue,head,10,3,L10H3,-1.359375
base,CC_continue,head,10,4,L10H4,-1.359375
base,CC_continue,head,10,5,L10H5,-1.359375
base,CC_continue,head,10,6,L10H6,-1.359375
base,CC_continue,head,10,7,L10H7,-1.359375
base,CC_continue,head,11,0,L11H0,0.0028839111328125
base,CC_continue,head,11,1,L11H1,0.0028839111328125
base,CC_continue,head,11,2,L11H2,0.0028839111328125
base,CC_continue,head,11,3,L11H3,0.0028839111328125
base,CC_continue,head,11,4,L11H4,0.0028839111328125
base,CC_continue,head,11,5,L11H5,0.0028839111328125
base,CC_continue,head,11,6,L11H6,0.0028839111328125
base,CC_continue,head,11,7,L11H7,0.0028839111328125
base,CC_continue,head,12,0,L12H0,-0.390625
base,CC_continue,head,12,1,L12H1,-0.390625
base,CC_continue,head,12,2,L12H2,-0.390625
base,CC_continue,head,12,3,L12H3,-0.390625
base,CC_continue,head,12,4,L12H4,-0.390625
base,CC_continue,head,12,5,L12H5,-0.390625
base,CC_continue,head,12,6,L12H6,-0.390625
base,CC_continue,head,12,7,L12H7,-0.390625
base,CC_continue,head,13,0,L13H0,-0.1884765625
base,CC_continue,head,13,1,L13H1,-0.1884765625
base,CC_continue,head,13,2,L13H2,-0.1884765625
base,CC_continue,head,13,3,L13H3,-0.1884765625
base,CC_continue,head,13,4,L13H4,-0.1884765625
base,CC_continue,head,13,5,L13H5,-0.1884765625
base,CC_continue,head,13,6,L13H6,-0.1884765625
base,CC_continue,head,13,7,L13H7,-0.1884765625
base,CC_continue,head,14,0,L14H0,-0.01171875
base,CC_continue,head,14,1,L14H1,-0.01171875
base,CC_continue,head,14,2,L14H2,-0.01171875
base,CC_continue,head,14,3,L14H3,-0.01171875
base,CC_continue,head,14,4,L14H4,-0.01171875
base,CC_continue,head,14,5,L14H5,-0.01171875
base,CC_continue,head,14,6,L14H6,-0.01171875
base,CC_continue,head,14,7,L14H7,-0.01171875
base,CC_continue,head,15,0,L15H0,0.85546875
base,CC_continue,head,15,1,L15H1,0.85546875
base,CC_continue,head,15,2,L15H2,0.85546875
base,CC_continue,head,15,3,L15H3,0.85546875
base,CC_continue,head,15,4,L15H4,0.85546875
base,CC_continue,head,15,5,L15H5,0.85546875
base,CC_continue,head,15,6,L15H6,0.85546875
base,CC_continue,head,15,7,L15H7,0.85546875
base,CC_continue,head,16,0,L16H0,0.2138671875
base,CC_continue,head,16,1,L16H1,0.2138671875
base,CC_continue,head,16,2,L16H2,0.2138671875
base,CC_continue,head,16,3,L16H3,0.2138671875
base,CC_continue,head,16,4,L16H4,0.2138671875
base,CC_continue,head,16,5,L16H5,0.2138671875
base,CC_continue,head,16,6,L16H6,0.2138671875
base,CC_continue,head,16,7,L16H7,0.2138671875
base,CC_continue,head,17,0,L17H0,0.90234375
base,CC_continue,head,17,1,L17H1,0.90234375
base,CC_continue,head,17,2,L17H2,0.90234375
base,CC_continue,head,17,3,L17H3,0.90234375
base,CC_continue,head,17,4,L17H4,0.90234375
base,CC_continue,head,17,5,L17H5,0.90234375
base,CC_continue,head,17,6,L17H6,0.90234375
base,CC_continue,head,17,7,L17H7,0.90234375
base,CC_continue,head,18,0,L18H0,0.0020599365234375
base,CC_continue,head,18,1,L18H1,0.0020599365234375
base,CC_continue,head,18,2,L18H2,0.0020599365234375
base,CC_continue,head,18,3,L18H3,0.0020599365234375
base,CC_continue,head,18,4,L18H4,0.0020599365234375
base,CC_continue,head,18,5,L18H5,0.0020599365234375
base,CC_continue,head,18,6,L18H6,0.0020599365234375
base,CC_continue,head,18,7,L18H7,0.0020599365234375
base,CC_continue,head,19,0,L19H0,-0.71484375
base,CC_continue,head,19,1,L19H1,-0.71484375
base,CC_continue,head,19,2,L19H2,-0.71484375
base,CC_continue,head,19,3,L19H3,-0.71484375
base,CC_continue,head,19,4,L19H4,-0.71484375
base,CC_continue,head,19,5,L19H5,-0.71484375
base,CC_continue,head,19,6,L19H6,-0.71484375
base,CC_continue,head,19,7,L19H7,-0.71484375
base,CC_continue,head,20,0,L20H0,0.4921875
base,CC_continue,head,20,1,L20H1,0.4921875
base,CC_continue,head,20,2,L20H2,0.4921875
base,CC_continue,head,20,3,L20H3,0.4921875
base,CC_continue,head,20,4,L20H4,0.4921875
base,CC_continue,head,20,5,L20H5,0.4921875
base,CC_continue,head,20,6,L20H6,0.4921875
base,CC_continue,head,20,7,L20H7,0.4921875
base,CC_continue,head,21,0,L21H0,-0.34765625
base,CC_continue,head,21,1,L21H1,-0.34765625
base,CC_continue,head,21,2,L21H2,-0.34765625
base,CC_continue,head,21,3,L21H3,-0.34765625
base,CC_continue,head,21,4,L21H4,-0.34765625
base,CC_continue,head,21,5,L21H5,-0.34765625
base,CC_continue,head,21,6,L21H6,-0.34765625
base,CC_continue,head,21,7,L21H7,-0.34765625
base,CC_continue,head,22,0,L22H0,0.349609375
base,CC_continue,head,22,1,L22H1,0.349609375
base,CC_continue,head,22,2,L22H2,0.349609375
base,CC_continue,head,22,3,L22H3,0.349609375
base,CC_continue,head,22,4,L22H4,0.349609375
base,CC_continue,head,22,5,L22H5,0.349609375
base,CC_continue,head,22,6,L22H6,0.349609375
base,CC_continue,head,22,7,L22H7,0.349609375
base,CC_continue,head,23,0,L23H0,0.04150390625
base,CC_continue,head,23,1,L23H1,0.04150390625
base,CC_continue,head,23,2,L23H2,0.04150390625
base,CC_continue,head,23,3,L23H3,0.04150390625
base,CC_continue,head,23,4,L23H4,0.04150390625
base,CC_continue,head,23,5,L23H5,0.04150390625
base,CC_continue,head,23,6,L23H6,0.04150390625
base,CC_continue,head,23,7,L23H7,0.04150390625
base,CC_continue,head,24,0,L24H0,0.1962890625
base,CC_continue,head,24,1,L24H1,0.1962890625
base,CC_continue,head,24,2,L24H2,0.1962890625
base,CC_continue,head,24,3,L24H3,0.1962890625
base,CC_continue,head,24,4,L24H4,0.1962890625
base,CC_continue,head,24,5,L24H5,0.1962890625
base,CC_continue,head,24,6,L24H6,0.1962890625
base,CC_continue,head,24,7,L24H7,0.1962890625
base,CC_continue,head,25,0,L25H0,0.2470703125
base,CC_continue,head,25,1,L25H1,0.2470703125
base,CC_continue,head,25,2,L25H2,0.2470703125
base,CC_continue,head,25,3,L25H3,0.2470703125
base,CC_continue,head,25,4,L25H4,0.2470703125
base,CC_continue,head,25,5,L25H5,0.2470703125
base,CC_continue,head,25,6,L25H6,0.2470703125
base,CC_continue,head,25,7,L25H7,0.2470703125
base,CC_continue,mlp,0,-1,L0_MLP,4.0625
base,CC_continue,mlp,1,-1,L1_MLP,-0.515625
base,CC_continue,mlp,2,-1,L2_MLP,-3.625
base,CC_continue,mlp,3,-1,L3_MLP,5.03125
base,CC_continue,mlp,4,-1,L4_MLP,-3.34375
base,CC_continue,mlp,5,-1,L5_MLP,-3.0
base,CC_continue,mlp,6,-1,L6_MLP,2.75
base,CC_continue,mlp,7,-1,L7_MLP,-6.3125
base,CC_continue,mlp,8,-1,L8_MLP,7.28125
base,CC_continue,mlp,9,-1,L9_MLP,-8.5625
base,CC_continue,mlp,10,-1,L10_MLP,3.875
base,CC_continue,mlp,11,-1,L11_MLP,6.4375
base,CC_continue,mlp,12,-1,L12_MLP,2.484375
base,CC_continue,mlp,13,-1,L13_MLP,0.007568359375
base,CC_continue,mlp,14,-1,L14_MLP,-0.10791015625
base,CC_continue,mlp,15,-1,L15_MLP,1.640625
base,CC_continue,mlp,16,-1,L16_MLP,1.5625
base,CC_continue,mlp,17,-1,L17_MLP,1.15625
base,CC_continue,mlp,18,-1,L18_MLP,-0.546875
base,CC_continue,mlp,19,-1,L19_MLP,-2.84375
base,CC_continue,mlp,20,-1,L20_MLP,1.328125
base,CC_continue,mlp,21,-1,L21_MLP,-0.40625
base,CC_continue,mlp,22,-1,L22_MLP,-2.171875
base,CC_continue,mlp,23,-1,L23_MLP,-2.3125
